name,kind,verdict,verdict_date,symbols_tested,TFs_tested,lever_rounds_evidence,best_PF_seen,class_claimed,source_file,source_anchor
"(BRK)_TrendlineBreakout #8 (XAU)","EA","EXPERIMENTAL demo (strict kill-criteria); both promote-paths via regime gating REJECTED","2026-07-08 (gates 07-09)","1: XAUUSD","1: H1","funnel 3-window 1.26/1.40/1.23, MC PF-5th 0.973 (weak); COT gate REJECT (MC 1.011->0.978); in-EA ADX gate REJECT (MC 0.861 - close-time-conditioning survivorship artifact discovered)","1.40","n/a (experimental, MC<1)","AGENT_TASKBOARD.md","ORDER-059/067 + PROJECT_STATE 07-08"
"plain-squeeze / plain-trendline naked signals (XAU)","concept","closed - naked-signal floor on gold ~0.85 MC PF-5th (meta-pattern with SuperTrendFlip 0.865)","2026-07-08/09","1: XAUUSD","1: H1","MC PF-5th: plain-squeeze 0.837, plain-trendline 0.867; documented as recurring floor","(MC floor ~0.85)","STRUCTURAL (naked-signal floor)","AGENT_TASKBOARD.md","ORDER-065 meta-pattern note"
"ConfluenceMartATR","EA","REJECT - every lot law fails (basket-window trap)","2026-07-08","1 (XAU lane)","1: H1","'ConfluenceMartATR ทุก lot law (basket-window trap)' - lot-law axis swept per 07-08 session; details in session log not registry","(not recorded)","STRUCTURAL (basket-window trap)","PROJECT_STATE.md (referenced)","SESSION 2026-07-08 'EA ที่ลองแล้วไม่ผ่าน'"
"London hunt (07-08 batch)","concept","NO EDGE (documented)","2026-07-08","(GBP lane)","1: H1","listed among 07-08 documented fails; london_sets ab_sets exist as evidence","(not recorded)","unknown","PROJECT_STATE.md (referenced)","SESSION 2026-07-08"
"indices/commodity lane (07-08)","cell","closed - no travel / no data","2026-07-08","(US30/commodity)","1: H1","documented fail: instruments do not travel or lack data","(n/a)","unknown","PROJECT_STATE.md (referenced)","SESSION 2026-07-08"
"COT regime filter (gold EAs)","concept","REJECT as gating filter (dashboard context-light only); PARAMETRIC with full evidence - not a ban on external-data class","2026-07-09","3 EAs' trade lists: SqueezeBRK Trendline BRK-XAU","1: (H1 trade lists)","threshold sweep {33,50,67} both BWD+FWD (rough surface, no plateau); year-split kills aggregate pattern (2023 LOW 1.46>HIGH 0.85); MC decisive: Trendline UNGATED PF-5th 1.011 vs GATED 0.978","3.96 (HIGH bucket aggregate, killed by year-split)","PARAMETRIC","AGENT_TASKBOARD.md","ORDER-059"
"(BRK)_FlagPennant (XAU H1)","EA","NO EDGE - closed with mechanism insight (momentum spent in pole; continuation-after-pause not an edge on gold H1)","2026-07-09","1: XAUUSD","1: H1","levers swept 5/7: pole-strength x flag-length x flag-width coarse 12 cells x 2 windows (no cell PF>1.2 both; levers flip poles across windows) + RR sweep SL{1,1.5}xTP{3-8} monotone worse","1.19 (BWD best cell)","STRUCTURAL (mechanism)","AGENT_TASKBOARD.md","ORDER-061"
"(TRD)_SuperTrendFlip (XAU H1)","EA","RESERVE (research) - NOT_ROBUST (MC PF-5th 0.865); rescue #1 (Donchian confluence) FAILED - hope reduced","2026-07-09","1: XAUUSD","1: H1","coarse ATR{10,16,22} x mult{2,3,4} two windows (atr22/m4 only config positive all 3: 1.02/1.11/1.32) + RR fixed-TP{4,6,8} + rescue Donchian-60 AND (sample collapsed 159->27 = noise); MC 5000 on 349 trades","1.32 (FWD confirm)","PARAMETRIC (naked-signal floor)","AGENT_TASKBOARD.md","ORDER-065"
"(VWAP)_WaveS1 distilled (XAU)","EA","NO EDGE - closes ENTIRE VWAP family on MT5 FX/CFD (tick volume = fake fair-value anchor) until real futures data","2026-07-09","1: XAUUSD","2: M15 H1","4 levers: BandMult{1,1.5,2} x AcceptBars{2,3,4} x TF x SL/TP{1-1.5 x 2-6} = 18+12 cells; every BWD cell negative (best 0.96); HOLDOUT max 1.03 - flat dead surface","1.08 (defaults FWD)","STRUCTURAL (instrument-data mismatch)","AGENT_TASKBOARD.md","ORDER-066"
"V2_15_SEMI_ORI_FINAL_GOD4.ex5","EA","REJECT untestable-locked (init fail both symbols)","2026-07-09","2: XAUUSD EURUSD","1: H1","none possible - locked","n/a","STRUCTURAL (untestable)","AGENT_TASKBOARD.md","ORDER-063"
"Hedging Grid Pending Auto Lote v.1","EA","REJECT untestable-locked (hangs headless, likely license dialog)","2026-07-09","2 symbols","1: H1","none possible - locked; martingale-recheck could not even start","n/a","STRUCTURAL (untestable)","AGENT_TASKBOARD.md","ORDER-063"
"Family2.2.ex5","EA","DQ-SECURITY - never run never attach (DLL imports + WebRequest to http://ea.sytes.net = phone-home/exfil profile)","2026-07-09","0 (not tested by policy)","0","none - security gate","n/a","STRUCTURAL (security)","AGENT_TASKBOARD.md","ORDER-063"
"Degold_hunter","EA","REJECT permanent - optimize-complete + artifact-proven (all gate layers cleared, no residue)","2026-07-09","1: XAUUSD","1: (H1 lane; M1 vs M4 models)","flat-lot probe PF 0.83/DD81.94 (escalation-only) + probe optimize 36 cells (spacing{30,165,300} x target{10,80,150} x RSI-gate{off,on} x 2 windows) + decisive artifact check: best cell M1 +$343,880 PF 13.12 vs M4 real ticks -$4,284 PF 0.56 DD47.6","13.12 (M1 fantasy-fill artifact)","artifact + STRUCTURAL","AGENT_TASKBOARD.md","ORDER-063"
"Gold_Kangaroo (locked MT4, fxDreema Silver Kangaroo family)","EA","STRONG LEAD - entry edge CONFIRMED by flat-lot probe; GREEN-LIT rebuild as Boss_16 KangarooInspired (numbers = Model-1 smoke-grade, full funnel required)","2026-07-10","1: XAUUSD","2: H1 (flat 5.71) M15 (flat 2.17)","flat-lot probe (Multiplier=1) PF 5.71/DD11.5 BETTER than x1.5-ladder 4.86/DD11 = entry carries edge, escalation adds nothing; corrections: 10/side cap soft, basket-TP = DD-release, 80% equity stop unverified","5.71 (flat-lot M1)","n/a (lead)","memory signal-landscape.md","2026-07-10 Gold_Kangaroo entry"
"Boss_16 Kangaroo BUY 21/30 (XAU H1)","cell","CANDIDATE (passed both-regimes; ORDER-078 full funnel open - deploy talk forbidden until it clears)","2026-07-10","1: XAUUSD","2: H1 M30 (swept - M30 inverts H1 ordering = cross-TF fragility)","entry sweep 24 pass RSIperiod{7,14,21} x RsiLow{25,30,35,40} x TF{H1,M30}: gate 0/24, surface PEAKY not plateau; BWD 2020-22 probe: 21/30 = 1.31/276t/DD9.6 + IS 1.57/285t/DD7.1 = positive both regimes ~90 trades/yr; spacing/TP/holdout/MC still pending","1.57 (IS)","n/a (candidate)","AGENT_TASKBOARD.md","ORDER-075/077 + REVIEWs"
"Boss_16 Kangaroo BUY 14/30 (XAU H1)","cell","weaker sibling across regimes (kept as comparison pair, not lead)","2026-07-10","1: XAUUSD","2: H1 M30","same 24-pass sweep; BWD 1.04/512t/DD17.3 vs IS 1.49/588t/DD10.85; M30 inversion (champion H1 zone -> bottom of M30 table)","1.49 (IS)","n/a (sibling)","AGENT_TASKBOARD.md","ORDER-075/077"
"Yetti3 no-boost probe (ORDER-046)","EA","REJECT permanent - death cause is scalper spread-sensitivity, not boost (Boost=1.0 does not fix)","2026-07-07","1 cell","1: H1","1 structural input probe + full original chain; SPR30 still 0.97","1.44 (probe BWD)","STRUCTURAL (spread)","AGENT_TASKBOARD.md","ORDER-046"
