> ORDER-164 Full Parameter Registry - ea_template/core/Inputs.mqh
> Snapshot commit: 733c1db76ea3bcb8e99b7604ee97fe2724459bf9 (last commit touching Inputs.mqh as of registry build; committed 2026-07-23T08:21:21+07:00)
> Registry built: 2026-07-23 (Sonnet, per AGENT_TASKBOARD.md ORDER-164)
> Row count: 183 real inputs = 183/183 COMPLETE as of PARAM-SYNC-004 (2026-07-24). Verify with: compare the identifiers from lines matching '^input ' minus 'input group' in ea_template/core/Inputs.mqh against this file's name column with any [LAB_ENTRY_nn] suffix stripped - the diff must be empty both ways.
> PARAM-SYNC-004 (2026-07-24, Fable-seat): the ORDER-161 moving-target gap is CLOSED. Appended the 6 rows that were deliberately excluded from the ORDER-164 snapshot (_43_LotPerAnchor, _43_BalanceAnchor, _2_BasketTP_BalPct, _32_SL_BalPct, _57_DynCloseBalPct, _8_DDRefBalPct - they live at the END of this file, not in category order) and rewrote the FirstLotMode / _41_FixedLot / _42_RiskPct rows, whose "silently falls back to _41_FixedLot" wording described behavior that MM-SAFETY-001 deleted on the same day. Inputs.mqh line numbers in the 3 rewritten rows + the 6 new rows are from the WORKING TREE at 2026-07-24; the other ~174 rows still cite the ORDER-164 pinned commit and have drifted by ~16 lines.
> Methodology: every owner / active_when / coupled_parameters / causal_question cell was traced by reading the actual code in ea_template/core/*.mqh and ea_template/core/entries/*.mqh at the pinned commit (the 4 files a concurrent session has modified in the working tree - ExitManager.mqh, MoneyManagement.mqh, Recovery.mqh, Inputs.mqh - were re-extracted from git at the same pinned hash so this registry is internally consistent to one commit). Nothing here is inferred from the inline Inputs.mqh comment alone; comments were cross-checked against the switch/if logic that actually reads each identifier. A full-corpus grep pass (177 unique identifiers) was run to confirm none are zero-usage outside their declaration.
> default_profile / optimize_stage / safe_range are UNKNOWN unless a citable source is named in the cell itself (an order, a scorecard row, a doc, or an explicit code clamp). No value in those 3 columns was guessed - see CLAUDE.md hard rule + ORDER-164 "forbidden" list.
> Classification legend: ACTIVE = has real, reachable effect in the current code. INACTIVE = declared but never read, or read only behind a condition that is permanently false for that build. OVERRIDE = supersedes another named input under some condition. COMPATIBILITY = kept only for old .set file compatibility, not meant to be tuned (none found in this codebase - see summary note at end of file).
> SELF-CHECK (required by ORDER-164 spec): RecoveryMode values 82 (REC_ADAPTIVE) and 83 (REC_AGGRESSIVE) are classified ACTIVE below, tagged ENGINE-EDGE. Traced directly to Recovery.mqh:46-69 (pinned snapshot) - Recovery_AddLot() has real case-branch logic for both (82 = DD-scaled multiplier vs _8_DDRefMoney, clamped by RC_RecMultMax; 83 = geometric MathPow(m,rstep) escalation, clamped by RC_RecMultMax), with no early-return gate blocking either branch. The old "(stub)" / "(stub, gated)" labels were factually wrong and were corrected in ORDER-160 (comment-only fix, committed in this same pinned hash 733c1db7). This matches the finding trail in _triage/ORDER158_RECOVERY_STUB_LABEL_FINDING.md.
name,owner,unit,context,active_when,coupled_parameters,default_profile,optimize_stage,safe_range,causal_question,classification,classification_note
"_2_SuppressLegTP","ExitManager.mqh (Exit_InitialTP - returns 0.0 immediately when true, before the ExitMode switch runs)","bool","exit","always checked; effect is real whenever true","ExitMode(21/22 leg TP is the thing being suppressed); _2_BasketTP_Money/_2_BasketTP_ATRmult(the basket-level exit that becomes the only TP mechanism when this is true)","false - Inputs.mqh:362","UNKNOWN","UNKNOWN","When true, forces every leg to carry NO per-order broker TP, relying solely on the basket-money exit to close the whole basket together (needed for GridLog(14) parity with the standalone, which used TP=0 per leg).","OVERRIDE","when true, supersedes/blanks whatever ExitMode(21/22) would have set as the per-leg broker TP"
"_2_MaxHoldBars","ExitManager.mqh (Exit_ManageBasket vertical barrier)","bars (chart TF)","exit","this value >0, AND NOT build 16 (LabCore.mqh explicitly WARNs that this input has NO EFFECT on Boss_16/Kangaroo, which owns its own exits and never calls Exit_ManageBasket)","StackMode(93 is unaffected - basket-level, not per-leg, so it still fires under a pyramid basket)","0 (off) - Inputs.mqh:369","UNKNOWN","UNKNOWN","Force-closes the whole basket once its oldest leg has been open >= N closed chart-TF bars (vertical-barrier / time-stop, ORDER-125).","ACTIVE","zero effect on build 16 specifically - LabCore.mqh prints an explicit WARN if this is set nonzero there"
"_57_DynCloseOn","ExitManager.mqh (Exit_DynCloseTargetMoney)","bool","exit","always checked; StackMode != 93 also applies since Exit_ManagePartialClose/Exit_ManageBasket gate the same way for basket exits generally, but this specific check has no StackMode gate of its own","_57_DynCloseBase; _57_DynCloseDivisor; evaluated ALONGSIDE (not replacing) _2_BasketTP_Money/_2_BasketTP_ATRmult per the code comment - whichever target the basket profit reaches first closes it","false (off) - Inputs.mqh:378","UNKNOWN","UNKNOWN","Enables a dynamic basket-close target that grows with the number of open orders (close_target = base + (openCount/divisor)*base), evaluated as an additional/alternative check next to the fixed/ATR basket TP.","ACTIVE",""
"_57_DynCloseBase","ExitManager.mqh","money (account currency)","exit","_57_DynCloseOn=true","_57_DynCloseDivisor","10.0 - Inputs.mqh:379","UNKNOWN","UNKNOWN","Base dollar target for the dynamic close-money formula.","ACTIVE","OVERRIDDEN by _57_DynCloseBalPct when that is >0 (Exit_DynCloseTargetMoney resolves BalPct first, falling through to this only when it is 0)"
"_57_DynCloseDivisor","ExitManager.mqh","divisor (unitless, count of orders per +1x growth step)","exit","_57_DynCloseOn=true","_57_DynCloseBase","4.0 - Inputs.mqh:384","UNKNOWN","UNKNOWN","Divisor controlling how fast the dynamic close target grows per additional open order.","ACTIVE",""
"_31_SL_Pip","ExitManager.mqh (Exit_SLDistancePoints, Exit_InitialSL)","points (raw broker points despite the 'Pip' name - same pattern as _21_TP_Pip, no pip adjustment)","exit","SLMode==SL_FIXED_POINTS(31)","none direct","1000 - Inputs.mqh:388","fine, single-instrument only - OPTIMIZE_GUIDE.md pip-mode note","UNKNOWN","Fixed per-order stop-loss distance in raw points.","ACTIVE","naming says 'Pip' but the code applies zero digit/pip adjustment - it is really a points input"
"_33_SL_ATRmult","ExitManager.mqh (Exit_SLDistancePoints, Exit_InitialSL, both via Exit_CapATRDist+Exit_RiskATR_Scaled)","ATR-multiple (Risk-ATR)","exit","SLMode==SL_ATR(33)","_33_SL_MaxPips/_33_SL_MaxATRmult(caps); _33_AdaptiveON/_33_AdaptiveN(scales the underlying ATR)","2.0 - Inputs.mqh:389","coarse - OPTIMIZE_GUIDE.md Plan A(1.0-2.0)/B(2-4)/D(1.5-2.0) coarse sweeps","UNKNOWN","Per-order SL distance as a multiple of (optionally adaptive) Risk-ATR.","ACTIVE",""
"_33_SL_MaxPips","ExitManager.mqh (Exit_CapATRDist)","pips (digit-aware: 10x point on 3/5-digit symbols)","exit","SLMode==SL_ATR(33), AND this value >0, AND _33_SL_MaxATRmult<=0 (else the ATR-relative cap wins first)","_33_SL_ATRmult; _33_SL_MaxATRmult(the input that overrides this when set)","0.0 (off) - Inputs.mqh:390","UNKNOWN","UNKNOWN","Legacy hard pip ceiling on the ATR-derived SL distance.","ACTIVE","superseded by _33_SL_MaxATRmult whenever that is set >0"
"_33_SL_MaxATRmult","ExitManager.mqh (Exit_CapATRDist - checked BEFORE the pip-cap branch)","ATR-multiple","exit","SLMode==SL_ATR(33), AND this value >0","_33_SL_MaxPips(the input this overrides)","0.0 (use legacy pip cap) - Inputs.mqh:391","UNKNOWN","UNKNOWN","Portable ATR-relative ceiling on the ATR-derived SL distance, checked before the legacy pip cap.","OVERRIDE","supersedes _33_SL_MaxPips whenever this is set >0 (Exit_CapATRDist returns on this branch first)"
"_33_AdaptiveON","ExitManager.mqh (Exit_RiskATR_Scaled - feeds BOTH SL_ATR(33) AND EXIT_ATR_TP(22), since both read Exit_RiskATR_Scaled/Exit_CapATRDist)","bool","exit","matters whenever SLMode==SL_ATR(33) OR ExitMode==EXIT_ATR_TP(22) - it is not SL-only despite living in the '3x Stop loss' input group","_33_AdaptiveN; _22_TP_ATRmult(also scaled by this, not just _33_SL_ATRmult)","false - Inputs.mqh:392","UNKNOWN","UNKNOWN","When true, scales the effective Risk-ATR by clamp(ATR/SMA(ATR,N), 0.7, 1.5) before it feeds SL AND TP ATR-multiple calcs - a regime-adaptive stretch/compress on both.","ACTIVE","grouped under '3x Stop loss' in Inputs.mqh but actually also affects the ATR take-profit (_22_TP_ATRmult) - a naming/grouping mismatch worth knowing"
"_33_AdaptiveN","ExitManager.mqh (Indi_RiskATR_MA)","bars (SMA period)","exit","_33_AdaptiveON=true","_33_AdaptiveON","50 - Inputs.mqh:393","UNKNOWN","UNKNOWN","Lookback period for the Risk-ATR SMA the adaptive scale factor is measured against.","ACTIVE",""
"_32_SL_Money","ExitManager.mqh (Exit_BasketStopMoney, Exit_SafetyMoneyStop, Exit_ManageBasket)","money (account currency)","exit/safety","this value >0 - independent of SLMode (this is a basket-level stop, checked unconditionally in Exit_SafetyMoneyStop/Exit_ManageBasket regardless of which SLMode is selected)","SLMode(indirect note: SLMode==SL_MONEY(32) itself produces NO per-order price SL - Exit_SLDistancePoints/Exit_InitialSL both hit the 'default: return 0' branch for that enum value - the real protection when SLMode=32 is chosen comes entirely from this input, which the code checks independently of the enum)","0 (off) - Inputs.mqh:394","UNKNOWN","UNKNOWN","Basket-level money stop-loss: force-closes the whole basket once floating loss reaches this; runs both intrabar (safety) and per-tick (management).","ACTIVE","the SL_MONEY(32) enum value on SLMode does not itself read this input - it is genuinely a separate, always-live check; OVERRIDDEN by _32_SL_BalPct when that is >0 (Exit_BasketStopMoney checks BalPct first)"
"_34_DonchianBars","ExitManager.mqh (Exit_SLDistancePoints/Exit_InitialSL, SL_STRUCT_DONCHIAN)","bars (lookback)","exit","SLMode==SL_STRUCT_DONCHIAN(34)","none direct","50 - Inputs.mqh:399","UNKNOWN","UNKNOWN","Donchian channel lookback used to place a structural SL at the channel extreme.","ACTIVE",""
"_35_SRBars","ExitManager.mqh (SL_STRUCT_SR)","bars (lookback)","exit","SLMode==SL_STRUCT_SR(35)","none direct","20 - Inputs.mqh:400","UNKNOWN","UNKNOWN","Swing S/R lookback used to place a structural SL at the nearest swing extreme.","ACTIVE",""
"_36_SD_Mult","ExitManager.mqh (SL_SD)","std-dev multiple","exit","SLMode==SL_SD(36)","_36_SD_Period","2.0 - Inputs.mqh:401","UNKNOWN","UNKNOWN","Standard-deviation band width for the SD-based SL.","ACTIVE",""
"_36_SD_Period","Indicators.mqh (g_hSD, built unconditionally in Indi_Init for EVERY build, not just when SLMode=36)","bars","exit","the indicator handle is always built; functionally matters only when SLMode==SL_SD(36)","_36_SD_Mult","20 - Inputs.mqh:402","UNKNOWN","UNKNOWN","StdDev period; the handle is created on every build regardless of SLMode, but only consumed when SLMode=36.","ACTIVE",""
"_0_ATR_Period","Indicators.mqh (g_hATR, the 'signal ATR' handle, built unconditionally)","bars","entry/stack (signal ATR)","handle always built; functionally consumed wherever Indi_ATR()/Indi_ATR_Points() is read: Stack_StepPrice, Entry_GridLog's arm distance, Kangaroo's grid step, the TrendFilter=71 ATR-expand check","_0_ATR_TF","14 - Inputs.mqh:406","UNKNOWN","UNKNOWN","Period for the 'Signal-ATR' context (entry/stack timing), distinct from the separate Risk-ATR context used for SL/TP/sizing.","ACTIVE",""
"_0_ATR_TF","Indicators.mqh (Indi_TF(_0_ATR_TF))","timeframe","entry/stack","same as _0_ATR_Period","_0_ATR_Period","PERIOD_CURRENT - Inputs.mqh:407","UNKNOWN","UNKNOWN","Timeframe the Signal-ATR is computed on.","ACTIVE",""
"_3_RiskATR_Period","Indicators.mqh (g_hRiskATR, the 'risk ATR' handle, built unconditionally)","bars","exit/mm (risk ATR)","handle always built; functionally consumed wherever Indi_RiskATR()/Exit_RiskATR_Scaled() is read: SL_ATR/EXIT_ATR_TP calcs, Recovery.mqh trigger/step distances, Kangaroo SL/TP dollar calcs","_3_RiskATR_TF","14 - Inputs.mqh:408","UNKNOWN","UNKNOWN","Period for the 'Risk-ATR' context (SL/TP/sizing), distinct from the Signal-ATR context used for entry/stack timing.","ACTIVE",""
"_3_RiskATR_TF","Indicators.mqh","timeframe","exit/mm","same as _3_RiskATR_Period","_3_RiskATR_Period","PERIOD_CURRENT - Inputs.mqh:409 (inline comment suggests raising 1-2 steps for more stable stops)","UNKNOWN","UNKNOWN","Timeframe the Risk-ATR is computed on.","ACTIVE",""
"_41_FixedLot","MoneyManagement.mqh (MM_ConfigValid, MM_FirstLot)","lots","mm","FirstLotMode==FIRSTLOT_FIXED(41) ONLY. It stopped being the cross-mode fallback in MM-SAFETY-001 (2026-07-24): modes 42/43 that cannot size now skip the order instead of borrowing this value","FirstLotMode; _4_DdAdaptive*(multiplier applied after); RC_MaxLot(final clamp)","0.01 - Inputs.mqh:413","UNKNOWN","documented guidance (not a code clamp): OPTIMIZE_GUIDE.md - Gold/WTI/Crypto 0.01 only, FX 0.01-0.02","Fixed first-order lot size. Must be > 0 when mode 41 is selected - MM_ConfigValid fails the attach otherwise.","ACTIVE","no longer a silent fallback for modes 42/43 - that was the MM-SAFETY-001 finding"
"_42_RiskPct","MoneyManagement.mqh (MM_ConfigValid, MM_FirstLot)","% of balance","mm","FirstLotMode==FIRSTLOT_RISK(42). The SLMode pairing is checked ONCE at OnInit (SLMode 30 NONE / 32 MONEY yield no distance -> INIT_FAILED); at runtime a tick that cannot produce a distance skips the order","FirstLotMode; SLMode(must be 31/33/34/35/36, or build17 _17_UseStructLevels); _4_DdAdaptive*(multiplier applied after); RC_MaxLot(final clamp)","1.0 - Inputs.mqh:414","UNKNOWN","documented guidance (not a code clamp): OPTIMIZE_GUIDE.md suggests 0.5-1%","First-order risk % of balance, converted to a lot size via the current SL distance. This is the only mode that is genuinely 'risk X% per order' - and only when the order really carries that SL.","ACTIVE","MM-SAFETY-001: the old silent fallback to _41_FixedLot is gone - a mis-paired SLMode now fails the attach"
"_51_ProgFactor","MoneyManagement.mqh (MM_NextLot, PROG_LINEAR and PROG_LOG cases)","coefficient","mm","LotProg is PROG_LINEAR(51) or PROG_LOG(54)","LotProg","0.5 - Inputs.mqh:434","UNKNOWN","UNKNOWN","Growth coefficient shared by the linear and log lot-progression modes.","ACTIVE",""
"_52_ProgMult","MoneyManagement.mqh (MM_NextLot, PROG_MULTIPLIER)","multiplier","mm","LotProg==PROG_MULTIPLIER(52)","LotProg; RC_RecMultMax(clamps this before it is applied - MM_NextLot clamps m to RC_RecMultMax before MathPow)","1.3 - Inputs.mqh:435","coarse - OPTIMIZE_GUIDE.md Plan E coarse sweep cites 1.0/1.15/1.3","UNKNOWN","Per-level multiplier for the martingale-style progression (lot = firstLot * mult^level); clamped by RC_RecMultMax before use.","ACTIVE",""
"_53_PlusLot","MoneyManagement.mqh (MM_NextLot, PROG_PLUS)","lots (additive step)","mm","LotProg==PROG_PLUS(53)","LotProg","0.01 - Inputs.mqh:436","UNKNOWN","UNKNOWN","Additive lot increment per stack level (lot = firstLot + plus*level).","ACTIVE",""
"_55_LogPowerFactor","MoneyManagement.mqh (MM_NextLot, PROG_LOG_POWER)","factor (power base)","mm","LotProg==PROG_LOG_POWER(55)","_55_UseLnNotLog10; LotProg","1.3 - Inputs.mqh:437","UNKNOWN","UNKNOWN","Power-law base for the log-power progression (Zeus GridLog port): lot = firstLot * factor^(ln or log10 of orderN).","ACTIVE",""
"_55_UseLnNotLog10","MoneyManagement.mqh (MM_NextLot, PROG_LOG_POWER)","bool","mm","LotProg==PROG_LOG_POWER(55)","_55_LogPowerFactor","true (use ln) - Inputs.mqh:438","UNKNOWN","UNKNOWN","Selects natural log vs log10 for the log-power progression exponent.","ACTIVE",""
"_56_FibMaxStep","MoneyManagement.mqh (MM_NextLot, PROG_FIBONACCI)","step index (cap)","mm","LotProg==PROG_FIBONACCI(56)","LotProg","5 (-> 13x multiplier ceiling) - Inputs.mqh:446","UNKNOWN","UNKNOWN","Caps the Fibonacci lot-progression multiplier at the value reached by this step index, so growth stops instead of continuing unbounded.","ACTIVE",""
"_4_DdAdaptiveOn","MoneyManagement.mqh (MM_DdAdaptiveMultiplier, applied inside MM_FirstLot to level-0 lot only)","bool","mm","always checked; no-op (multiplier stays 1.0) when false","_4_DdTier1Pct/_4_DdTier1Mult; _4_DdTier2Pct/_4_DdTier2Mult; _4_DdHardCapMult","false (off) - Inputs.mqh:452","UNKNOWN","UNKNOWN","Enables a DD-tiered first-lot multiplier applied only to a NEW basket's level-0 order (Zeus GridLog _05_DdAdaptive port).","ACTIVE",""
"_4_DdTier1Pct","MoneyManagement.mqh","% (floating account DD at first-order time)","mm","_4_DdAdaptiveOn=true","_4_DdTier1Mult; _4_DdTier2Pct(the two tiers are compared in sequence, tier2 checked first)","10.0 - Inputs.mqh:453","UNKNOWN","UNKNOWN","First DD% threshold; once account DD is at least this deep at the moment a new basket opens, the level-0 lot is scaled by _4_DdTier1Mult.","ACTIVE",""
"_4_DdTier1Mult","MoneyManagement.mqh","multiplier","mm","_4_DdAdaptiveOn=true, AND DD >= _4_DdTier1Pct (and < _4_DdTier2Pct)","_4_DdTier1Pct; _4_DdHardCapMult(final clamp)","1.2 - Inputs.mqh:454","UNKNOWN","UNKNOWN","Level-0 lot multiplier applied at the first DD tier.","ACTIVE",""
"_4_DdTier2Pct","MoneyManagement.mqh","% (floating account DD)","mm","_4_DdAdaptiveOn=true","_4_DdTier2Mult","20.0 - Inputs.mqh:455","UNKNOWN","UNKNOWN","Second, deeper DD% threshold at which _4_DdTier2Mult applies instead of tier1.","ACTIVE",""
"_4_DdTier2Mult","MoneyManagement.mqh","multiplier","mm","_4_DdAdaptiveOn=true, AND DD >= _4_DdTier2Pct","_4_DdTier2Pct; _4_DdHardCapMult","1.5 - Inputs.mqh:456","UNKNOWN","UNKNOWN","Level-0 lot multiplier applied at the second, deeper DD tier.","ACTIVE",""
"_4_DdHardCapMult","MoneyManagement.mqh (MM_DdAdaptiveMultiplier - final clamp)","multiplier ceiling","mm","_4_DdAdaptiveOn=true","_4_DdTier1Mult; _4_DdTier2Mult","1.5 - Inputs.mqh:457","UNKNOWN","UNKNOWN","Hard ceiling the DD-adaptive multiplier can never exceed, regardless of DD depth.","ACTIVE",""
"ProtectLevel","RiskControl.mqh (RC_KillDDPct, RC_MaxDepositLoadPct, RC_MaxRecSteps - explicit code-defined presets)","enum (1/2/3)","safety","always","implicitly gates the default effective values of KillDD/DepositLoad/MaxRecSteps unless RC_MaxLevelsOverride overrides the steps component","PROTECT_NORMAL(2) - Inputs.mqh:461","UNKNOWN","code-defined preset values (RiskControl.mqh): TIGHT(1)=KillDD15%/Load20%/Steps2; NORMAL(2)=KillDD25%/Load30%/Steps3; LOOSE(3)=KillDD40%/Load50%/Steps5","Selects the whole safety-cage profile in one dropdown: hard-kill equity-DD threshold, max deposit-load%, and max recovery/stack step depth.","ACTIVE","the step-count component (RC_MaxRecSteps) is OVERRIDDEN by RC_MaxLevelsOverride when that is >0 (RiskControl_MaxLevels checks it first); KillDD and DepositLoad are never affected by RC_MaxLevelsOverride"
"RC_MaxLot","RiskControl.mqh (RiskControl_ClampLot); Execution.mqh (Exec_NormalizeLot - the true final clamp on every order)","lots (ceiling)","safety","always - applied as the LAST step on every lot calculation in the codebase, cannot be bypassed by any mode/progression","every lot-sizing input in the file, indirectly (this is the supreme ceiling above all of them)","0.20 - Inputs.mqh:462","UNKNOWN","UNKNOWN","Absolute per-order lot ceiling; the final clamp applied after every other sizing/progression/adaptive calculation.","ACTIVE",""
"RC_RecMultMax","RiskControl.mqh (referenced by callers); MoneyManagement.mqh (PROG_MULTIPLIER clamp); Recovery.mqh (both REC_ADAPTIVE(82) and REC_AGGRESSIVE(83) clamp their multiplier to this before applying)","multiplier ceiling","safety","LotProg==PROG_MULTIPLIER(52), OR RecoveryMode is 82 or 83","LotProg; RecoveryMode","1.3 - Inputs.mqh:463","UNKNOWN","UNKNOWN","Caps the effective escalation multiplier for BOTH the martingale lot-progression AND the RecoveryMode 82/83 ENGINE-EDGE escalation - the single cage that keeps both from becoming unbounded.","ACTIVE","this is the cage clamp cited in the RecoveryMode 82/83 SELF-CHECK note above"
"RC_MaxLevelsOverride","RiskControl.mqh (RiskControl_MaxLevels)","count (levels), 0=off","safety","this value >0","RC_MaxRecSteps(driven by ProtectLevel - the value this overrides); _9_MaxLevels(still takes the min against this)","0 (off, falls back to ProtectLevel's RC_MaxRecSteps) - Inputs.mqh:469","UNKNOWN","UNKNOWN","When >0, decouples stack/recovery depth from ProtectLevel's implicit step cap (2/3/5), letting a grid-heavy entry go deeper while KillDD/DepositLoad still come from ProtectLevel untouched.","OVERRIDE","supersedes ProtectLevel's implicit RC_MaxRecSteps(2/3/5) depth cap whenever set >0"
"RC_AcctDDLimitPct","RiskControl.mqh (RiskControl_AcctGateOK, RiskControl_AcctHwmUpdate)","% (account DD from high-water mark)","safety","this value >0","g_rc_acct_hwm(persisted high-water mark)","0.0 (off) - Inputs.mqh:475","UNKNOWN","UNKNOWN","Account-level DD gate: blocks NEW first-entries (not existing baskets/adds) once equity sits this % below its persisted high-water mark.","ACTIVE",""
"RC_PersistHalt","RiskControl.mqh (gates every scoped GlobalVariable write for halt/kill/peak-equity state); ExitManager.mqh (gates the close-all intent persistence); Kangaroo.mqh (gates the pair-close and closeall intent persistence)","bool","safety","always - default true means every module attempts durable persistence; false switches those modules to memory-only semantics for NEW intents (existing/legacy intent cleanup is explicitly NOT gated on this per several ORDER-138c comments)","interacts with RC_AdoptLegacyHalt(migration logic) and every persisted safety state in the codebase","true - Inputs.mqh:484","UNKNOWN","UNKNOWN","When true (default), hard-kill/halt state and in-flight close-all intents survive a restart/recompile via terminal GlobalVariables; false reverts to memory-only semantics for new intents (manual un-halt route).","ACTIVE",""
"RC_AdoptLegacyHalt","RiskControl.mqh (RiskControl_InitEx)","bool","safety","only matters if a legacy pre-132 magic-only GlobalVariable key exists for this scope (active kill/halt, rc_peak_eq, or acct_hwm) - otherwise a pure no-op","RC_PersistHalt(legacy keys are only checked when this is also true)","false - Inputs.mqh:497","UNKNOWN","UNKNOWN","One-time consent flag to migrate a pre-ORDER-132 magic-only halt/kill/peak-equity state into the new account-scoped keys; without it, OnInit fails closed (INIT_FAILED) rather than risk adopting another account's state.","ACTIVE",""
"_8_TriggerATR","Recovery.mqh (Recovery_OnTick)","ATR-multiple (Risk-ATR)","recovery","RecoveryMode != REC_NONE(80)","RecoveryMode; _3_RiskATR_Period/_3_RiskATR_TF(the ATR this multiplies)","1.5 - Inputs.mqh:503","UNKNOWN","UNKNOWN","Adverse excursion (in Risk-ATR multiples) beyond the worst entry required before Recovery starts adding.","ACTIVE",""
"_8_StepATR","Recovery.mqh (Recovery_OnTick)","ATR-multiple (Risk-ATR)","recovery","RecoveryMode != REC_NONE(80)","_8_TriggerATR","1.0 - Inputs.mqh:504","UNKNOWN","UNKNOWN","Further adverse distance (in Risk-ATR multiples) per additional recovery add once triggered.","ACTIVE",""
"_8_RecMult","Recovery.mqh (Recovery_AddLot, REC_AGGRESSIVE(83) case only)","multiplier (per recovery step)","recovery","RecoveryMode==REC_AGGRESSIVE(83)","RC_RecMultMax(clamps this before MathPow is applied)","1.3 - Inputs.mqh:505","UNKNOWN","UNKNOWN","Per-step multiplier for the geometric MathPow(m,rstep) escalation used by RecoveryMode 83 (ENGINE-EDGE class); clamped by RC_RecMultMax before use.","ACTIVE","feeds the RecoveryMode=83 ENGINE-EDGE escalation formula directly"
"_8_DDRefMoney","Recovery.mqh (Recovery_AddLot, REC_ADAPTIVE(82) case only)","money (account currency)","recovery","RecoveryMode==REC_ADAPTIVE(82)","RC_RecMultMax(final clamp on the resulting multiplier)","100.0 - Inputs.mqh:506","UNKNOWN","UNKNOWN","Reference $ of current basket loss that maps to +1.0x add-lot multiplier for RecoveryMode 82 (ENGINE-EDGE class): mult = 1 + basketDD/this, clamped by RC_RecMultMax.","ACTIVE","feeds the RecoveryMode=82 ENGINE-EDGE escalation formula directly; OVERRIDDEN by _8_DDRefBalPct when that is >0 (same resolver checks BalPct first)"
"_H_TriggerDDPct","Hedge.mqh (Hedge_OnTick)","% (basket floating DD of balance)","hedge","HedgeMode != HEDGE_OFF(0)","_H_ReleaseDDPct(hysteresis pair)","8.0 - Inputs.mqh:514","UNKNOWN","UNKNOWN","Basket floating DD% (of balance) that opens the defensive hedge leg.","ACTIVE",""
"_H_ReleaseDDPct","Hedge.mqh (Hedge_OnTick)","% (basket floating DD of balance)","hedge","HedgeMode != HEDGE_OFF(0), AND a hedge leg is currently open","_H_TriggerDDPct","3.0 - Inputs.mqh:515","UNKNOWN","UNKNOWN","Basket floating DD% the position must recover to before the hedge is released (closed).","ACTIVE",""
"_H_Ratio","Hedge.mqh (Hedge_OnTick)","ratio (of net exposed lots)","hedge","HedgeMode != HEDGE_OFF(0), AND the trigger has fired","_H_MaxLot(cap on the result); RC_MaxLot(final cage clamp via Exec_Open)","1.0 - Inputs.mqh:516","UNKNOWN","UNKNOWN","Hedge lot size as a ratio of net directional exposure (excluding existing hedge legs).","ACTIVE",""
"_H_MaxLot","Hedge.mqh (Hedge_OnTick)","lots (ceiling, 0=use RC_MaxLot only)","hedge","HedgeMode != HEDGE_OFF(0), AND this value >0","_H_Ratio; RC_MaxLot(applies regardless, via Exec_Open)","0.0 (use RC_MaxLot only) - Inputs.mqh:517","UNKNOWN","UNKNOWN","Explicit hedge-lot ceiling beyond the generic RC_MaxLot cage clamp.","ACTIVE",""
"_MG_SelfGate","LabCore.mqh (OnInit/OnTick orchestration - calls MG_Setup/MG_ParseMagics/MG_LoadRegime/MG_Tick only when true); MacroGate_Core.mqh (the engine those calls drive); Execution.mqh (Exec_MacroBlocked/Exec_MacroLotMult - the GV bridge that reads what the self-gate writes)","bool","execution (macro gate, backtest A/B only)","always checked in LabCore; when false the whole macro self-gate is fully inert for this EA instance","_MG_RegimeFile; _MG_InCommon; _MG_LotMult; _MG_BlockNew; _MG_TriggerRiskOff; _MG_OffsetHours (all only matter when this is true)","false (off) - Inputs.mqh:528","UNKNOWN","UNKNOWN","Enables an in-EA macro regime self-gate (reads the MRIS timeline CSV directly and sets its own MACROGATE_* GVs) for single-EA backtest A/B testing; in live, the standalone (Boss)_MacroGate watchdog is used instead and this should stay off.","ACTIVE",""
"_MG_RegimeFile","LabCore.mqh (passed to MG_LoadRegime); MacroGate_Core.mqh (MG_LoadRegime file read)","filename (CSV)","execution (macro gate)","_MG_SelfGate=true","_MG_InCommon(which folder this is read from)","'EA_LAB_mris_regime.csv' - Inputs.mqh:529","UNKNOWN","UNKNOWN","Filename of the MRIS regime timeline CSV the self-gate reads.","ACTIVE",""
"_MG_InCommon","LabCore.mqh (passed to MG_LoadRegime)","bool","execution (macro gate)","_MG_SelfGate=true","_MG_RegimeFile","true (Common\\Files) - Inputs.mqh:530","UNKNOWN","UNKNOWN","Whether the regime CSV is read from the shared Common\\Files folder vs this terminal's MQL5\\Files.","ACTIVE",""
"_MG_LotMult","LabCore.mqh (passed to MG_Setup -> mg_lotMult); Execution.mqh (Exec_MacroLotMult reads the resulting GV, only accepts values in (0,1) - can only reduce size, never scale up or zero out)","multiplier (0,1)","execution (macro gate)","_MG_SelfGate=true, AND the macro regime is currently gated (RISK_OFF/STRESS)","_MG_TriggerRiskOff(whether RISK_OFF counts); _MG_BlockNew","0.5 - Inputs.mqh:531","UNKNOWN","UNKNOWN","New-order lot multiplier applied while the macro gate is active (reduce-lot doctrine: only values strictly between 0 and 1 take effect).","ACTIVE",""
"_MG_BlockNew","LabCore.mqh (passed to MG_Setup -> mg_blockNew); MacroGate_Core.mqh (MG_Tick sets/clears the BLOCK GV based on this)","bool","execution (macro gate)","_MG_SelfGate=true","_MG_LotMult; _MG_TriggerRiskOff","true - Inputs.mqh:532","UNKNOWN","UNKNOWN","When true, also vetoes new orders outright while gated (not just shrinking lot size).","ACTIVE",""
